"Allowed Shipping Methods","Allowed Shipping Methods"
"Copy the value of POS ID (pos_id) parameter from your POS configuration in Payu.pl panel","Copy the value of <b>POS ID (pos_id)</b> parameter from your POS configuration in Payu.pl panel"
"Copy the value of Second key (MD5) parameter from your POS configuration in Payu.pl panel","Copy the value of <b>Second key (MD5)</b> parameter from your POS configuration in Payu.pl panel"
"Enabled","Enabled"
"Merchant POS ID","Merchant POS ID"
"Payment from Applicable Countries","Payment from Applicable Countries"
"Payment from Specific Countries","Payment from Specific Countries"
"Place Order and Pay with Payu.pl","Place Order and Pay with Payu.pl"
"Signature Key","Signature Key"
"Sort Order","Sort Order"
"Title","Title"